year,days
1354,15.27272727
1355,13.37710438
1357,18.27272727
1372,26.52525253
1373,18.12962963
1374,27.27333333
1375,19.52525253
1376,22.77777778
1378,22.87710438
1379,22.27272727
1380,19.76888889
1381,21.27272727
1382,14.3655303
1383,4.777777778
1384,6.272727273
1385,9.458333333
1386,18.13636364
1387,19.63636364
1388,26.11805556
1389,24.63636364
1390,14.62518519
1391,14.12518519
1392,37.87710438
1393,1.272727273
1394,31
1397,12
1398,27
1399,26
1400,10.48148148
1401,19.45833333
1402,15.35944444
1403,18.72916667
1404,29.52080808
1405,26.27272727
1406,24.02080808
1407,26.48148148
1408,27.77777778
1409,17.77777778
1410,15.45833333
1411,36.45833333
1412,17.27272727
1413,14
1414,30.11361111
1415,21.48148148
1416,24.8655303
1417,21.13636364
1418,9.481481481
1419,17.95
1420,-2.634469697
1421,23.27272727
1422,10.37710438
1423,25.95
1424,11.76888889
1425,16
1426,14
1427,25
1428,35
1429,24
1430,15
1431,19
1433,13
1434,1
1435,25
1436,29
1440,28
1441,18
1443,26
1448,30
1449,42
1450,25
1451,39
1452,24
1453,37
1454,34
1455,31
1456,33
1457,14
1458,18
1459,35
1461,16
1463,35
1464,14
1465,41
1466,27
1467,27
1468,32
1469,20
1470,37
1471,11
1472,23
1473,-2
1474,39
1475,31
1476,28
1477,41
1478,19
1479,16
1480,39
1481,47
1482,16
1483,15
1484,21
1485,44
1486,21
1487,23
1488,43
1489,32
1490,26
1491,46
1493,36
1494,19
1495,14
1496,41
1497,40
1498,27
1499,29
1500,14
1501,19
1502,29
1503,28
1504,15
1505,43
1506,28
1507,16
1508,30
1509,20
1510,30
1511,44
1512,24
1514,33
1515,35
1516,12
1517,26
1518,22
1519,40
1522,36
1523,26
1525,21
1527,43
1528,35
1530,15
1532,20
1533,36
1534,20
1535,30
1536,8
1537,40
1538,12
1539,26
1540,3
1545,11
1546,23
1547,31
1548,29
1549,34
1550,37
1551,26
1552,13
1553,35
1555,40
1556,5
1557,33
1558,32
1559,5
1560,36
1561,14
1563,30
1564,46
1566,38
1567,23
1568,30
1569,26
1570,35
1572,19
1573,40
1574,29
1575,26
1576,36
1577,33
1578,21
1579,39
1580,30
1581,33
1582,28
1583,12
1584,25
1585,34
1586,32
1587,42
1588,24
1589,25
1590,13
1591,32
1592,32
1593,32
1594,30
1595,25
1596,33
1597,43
1598,23
1599,11
1600,43
1601,38
1602,23
1603,13
1604,20
1605,20
1606,36
1607,24
1608,31
1609,28
1610,20
1611,14
1612,31
1613,25
1614,36
1615,22
1616,12
1617,33
1618,36
1619,26
1620,28
1621,46
1622,24
1623,15
1624,14
1625,33
1626,27
1627,44
1628,44.17647059
1629,27
1630,20
1631,20
1632,34
1633,37
1634,33
1635,25
1636,4
1637,3
1638,10
1639,20
1640,31
1641,33
1642,33
1643,31
1644,15
1645,11
1646,17
1647,18
1648,31
1649,38
1651,22
1652,20
1653,11
1654,32
1655,23
1656,26
1657,22
1658,29
1659,10
1660,8
1661,12
1662,22
1663,38
1664,19
1665,15
1666,10
1667,28
1668,19
1669,13
1670,22
1671,16
1672,28
1673,35
1674,20
1675,44
1676,10
1677,27
1678,20
1679,26
1680,10
1681,9
1682,28
1683,13
1684,4
1685,12
1686,4
1687,29
1688,27
1689,29.38444444
1690,13.88444444
1691,24.38444444
1692,35.38444444
1693,29.38444444
1694,26.38444444
1695,22.38444444
1696,16.88444444
1697,26.38444444
1698,38.88444444
1699,17.38444444
1700,31.59141982
1701,25.63636364
1702,19.63636364
1703,25.59141982
1704,15
1705,28.59141982
1706,7.020808081
1707,22.59141982
1708,24.63636364
1709,31.59141982
1710,20.63636364
1711,26.63636364
1712,28.13636364
1713,34.52080808
1714,29.59141982
1715,27.63636364
1716,32.02080808
1717,25.02080808
1718,3.339500624
1719,-0.479191919
1720,28.27272727
1721,32.02080808
1722,23.27272727
1723,17.63636364
1724,22.35294118
1725,42.02080808
1726,11.05555556
1727,11.27272727
1728,15.27272727
1729,31.59141982
1730,29.27272727
1731,22.05555556
1732,20.59141982
1733,28
1734,17.35294118
1735,39.05555556
1736,20.05555556
1737,19.35294118
1738,31.27272727
1739,26.20424837
1740,49.13636364
1741,27.27272727
1742,33.02080808
1743,27.02080808
1744,32.02080808
1745,30.13636364
1746,27.88444444
1747,33.33950062
1748,27.02080808
1749,30.33950062
1750,25.52080808
1751,37.02080808
1752,30.02080808
1753,21.02080808
1754,32.02080808
1755,18.02080808
1756,35.33950062
1757,27.38444444
1758,26.33950062
1759,25.33950062
1760,17.02080808
1761,16.02080808
1762,17.02080808
1763,37.02080808
1764,14.02080808
1765,25.59141982
1766,28.63636364
1767,37.02080808
1768,29.02080808
1769,29.02080808
1770,38.52080808
1771,27.52080808
1772,26.02080808
1773,29.02080808
1774,24.02080808
1775,27.02080808
1776,31.52080808
1777,32.52080808
1778,25.35294118
1779,24.63636364
1780,20.59141982
1781,12.02080808
1782,32.02080808
1783,20.13636364
1784,19.35294118
1785,24.35294118
1786,27.76888889
1787,35.02080808
1788,18.63636364
1789,38.13636364
1790,28.76888889
1791,20.38444444
1792,34.38444444
1793,24.52080808
1794,15.59141982
1795,28.45505618
1796,37.59141982
1797,41.33950062
1798,17.63636364
1799,41.52080808
1800,26.76888889
1801,29.33950062
1802,26.33950062
1803,30.33950062
1804,30.52080808
1805,48.88444444
1806,29.59141982
1807,25.33950062
1808,30.02080808
1809,47.33950062
1810,33.02080808
1811,15.52080808
1812,40.02080808
1813,42.33950062
1814,37.76888889
1815,23.59141982
1816,51.52080808
1817,43.59141982
1818,26.59141982
1819,27.59141982
1820,42.33950062
1821,48.52080808
1822,4.020808081
1823,45.02080808
1824,43.59141982
1825,21.02080808
1826,33.38444444
1827,30.02080808
1828,34.38444444
1829,43.33950062
1830,30.02080808
1831,30.02080808
1832,36.02080808
1833,29.52080808
1834,17.02080808
1835,37.02080808
1836,38.02080808
1837,40.91011236
1838,38.91011236
1839,31.76888889
1840,25.91011236
1841,27
1842,19.27272727
1843,46.91011236
1844,23.27272727
1845,37.48837209
1846,12.76888889
1847,35.76888889
1848,30.27272727
1849,27.27272727
1850,36.76888889
1851,35.76888889
1852,25.33950062
1853,35.52080808
1854,28.09141982
1855,35.27272727
1856,32.62863049
1857,20.91011236
1858,20.27272727
1859,21
1860,36.76888889
1861,26.12863049
1862,21.88054968
1863,20.91011236
1864,25.48837209
1865,10.27272727
1866,27
1867,27.76888889
1868,14
1869,21.76888889
1870,21.02080808
1871,35.27272727
1872,29.48837209
1873,29.83950062
1874,19.48837209
1875,24.83950062
1876,35.62863049
1877,35.62863049
1878,35.02080808
1879,47.48837209
1880,29.91011236
1881,27.27272727
1882,34.88444444
1883,36.76888889
1884,30.27272727
1885,25.76888889
1886,28.91011236
1887,28.91011236
1888,33.19924223
1889,25.09141982
1890,29.88054968
1891,38.69924223
1892,23.02080808
1893,-0.979191919
1894,30.27272727
1895,24.27272727
1896,27.76888889
1897,21.27272727
1898,31.27272727
1899,26.76888889
1900,28.76888889
1901,16.52080808
1902,32.38444444
1903,34.76888889
1904,18.76888889
1905,24.76888889
1906,22.52080808
1907,34.52080808
1908,23.02080808
1909,33.52080808
1911,12.42888889
1912,29.02080808
1913,33.02080808
1914,35.52080808
1915,16.27272727
1916,36.27272727
1918,25.52080808
1919,28.91011236
1920,27.02080808
1921,20.76888889
1922,26.08888889
1923,28.76888889
1924,23.27272727
1925,22.52080808
1926,24.52080808
1927,21.52080808
1928,25.27272727
1929,24.52080808
1930,26.52080808
1931,26.27272727
1932,34.76888889
1933,26.27272727
1934,16.27272727
1935,31.27272727
1936,29.76888889
1937,17.76888889
1938,31.76888889
1939,41.52080808
1940,26.27272727
1941,37.52080808
1942,25.52080808
1943,19.72914141
1944,33.18080808
1945,16.76888889
1946,24.97722222
1947,16.27272727
1948,25.72914141
1949,24.97722222
1950,21.76888889
1951,34.22914141
1952,16.52080808
1953,22.52080808
1954,38.18080808
1955,30.76888889
1956,42.27272727
1957,31.91011236
1958,30.76888889
1959,16.07722222
1960,20.76888889
1961,24.76888889
1962,39.52080808
1963,36.76888889
1964,21.54783396
1965,41.91011236
1966,26.18555556
1967,31.52080808
1968,31.76888889
1969,35.76888889
1970,29.96888889
1971,19.05460317
1972,36.27272727
1973,23.52080808
1974,24.91174603
1975,26.52080808
1976,8.768888889
1977,35.08653595
1978,35.12007937
1979,27.12007937
1980,38.98235777
1981,24.05460317
1982,19.02771242
1983,26.02771242
1984,33.51174603
1985,27.07056956
1986,24.62007937
1987,28.96888889
1988,22.05460317
1989,14.05460317
1990,20.08653595
1991,26.02771242
1992,16.26174603
1993,16.51174603
1994,16.18555556
1995,22.51174603
1996,20.18555556
1997,11.91011236
1998,18.05460317
1999,16.05460317
2000,11.18555556
2001,20.05460317
2002,16.18555556
2003,-10.08988764
2004,21.48235777
2005,13.46888889
2006,15.98235777
