Brand,Brewery,Type,Alcohol Content (%),Calories
Aspen Edge,Adolph Coors,Domestic,4.1,94
Blue Moon,Adolph Coors,Domestic,5.4,171
Keystone Ice,Adolph Coors,Domestic,5.9,142
Keystone Light,Adolph Coors,Domestic,4.13,103
Keystone Premium,Adolph Coors,Domestic,4.43,111
Anchor Porter,Anchor,Domestic,5.6,209
Anchor Steam,Anchor,Domestic,4.9,153
Anheuser Busch Natural Ice,Anheuser Busch,Domestic,5.9,157
Anheuser Busch Natural Light,Anheuser Busch,Domestic,4.2,95
Busch Beer,Anheuser Busch,Domestic,4.6,133
Busch Ice,Anheuser Busch,Domestic,5.9,169
Busch Light,Anheuser Busch,Domestic,4.1,95
Michelob Amber Boch,Anheuser Busch,Domestic,5.2,166
Michelob Beer,Anheuser Busch,Domestic,5,155
Michelob Golden Draft,Anheuser Busch,Domestic,4.7,152
Michelob Golden Draft Light,Anheuser Busch,Domestic,4.1,110
Michelob Honey Lager,Anheuser Busch,Domestic,4.9,175
Michelob Light,Anheuser Busch,Domestic,4.3,113
Michelob Ultra,Anheuser Busch,Domestic,4.1,95
O'Doul's,Anheuser Busch,Domestic,0.4,70
Bard's Gold (Gluten-Free),Bard's Tale Beer Co,Domestic,4.6,155
Big Sky I.P.A.,Big Sky Brewing,Domestic,6.2,195
Big Sky Moose Drool Brown Ale,Big Sky Brewing,Domestic,5.2,177
Big Sky Powder Hound (seasonal),Big Sky Brewing,Domestic,6.2,195
Big Sky Scape Goat Pale Ale,Big Sky Brewing,Domestic,4.7,163
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,Domestic,4.7,154
Big Sky Trout Slayer Ale,Big Sky Brewing,Domestic,4.7,163
Blatz Beer,Blatz,Domestic,4.8,153
Sam Adams Boston Ale,Boston Beer,Domestic,4.94,160
Sam Adams Boston Lager,Boston Beer,Domestic,4.75,160
Sam Adams Cherry Wheat,Boston Beer,Domestic,5.2,166
Sam Adams Cream Stout,Boston Beer,Domestic,4.69,195
Sam Adams IPA,Boston Beer,Domestic,5.93,175
Sam Adams Light,Boston Beer,Domestic,4.05,119
Sam Adams Pale Ale,Boston Beer,Domestic,5.25,145
Breckenridge Brown Ale,Breckenridge Brewery,Domestic,5.6,196
Breckenridge Red Ale,Breckenridge Brewery,Domestic,5.5,193
Bud Dry,Budweiser,Domestic,5,130
Bud Ice,Budweiser,Domestic,5.5,123
Bud Ice Light,Budweiser,Domestic,5,115
Bud Light,Budweiser,Domestic,4.2,110
Bud Light Lime,Budweiser,Domestic,4.2,116
Bud Light Platinum,Budweiser,Domestic,6,137
Budweiser,Budweiser,Domestic,5,145
Budweiser Black Crown,Budweiser,Domestic,6,146
Budweiser Select,Budweiser,Domestic,4.3,99
Budweiser Select 55,Budweiser,Domestic,2.4,55
Yuengling Ale,D.G. Yuengilng,Domestic,5,145
Yuengling Porter,D.G. Yuengilng,Domestic,4.5,150
Yuengling Lager,D.G. Yuengling,Domestic,4.4,135
Yuengling Light,D.G. Yuengling,Domestic,3.8,98
Yuengling Premium Beer,D.G. Yuengling,Domestic,4.4,135
Deschutes Chainbreaker White IPA,Deschutes Brewery,Domestic,5.6,180
Deschutes Pinedrops IPA,Deschutes Brewery,Domestic,6.5,190
Deschutes Twilight Summer Ale,Deschutes Brewery,Domestic,5,162
Flying Dog Dog Schwarz,Flying Dog Brewery,Domestic,7.8,222
Flying Dog Doggie Style,Flying Dog Brewery,Domestic,4.7,158
Flying Dog DogtoberFest,Flying Dog Brewery,Domestic,5.6,165
Flying Dog Double Dog,Flying Dog Brewery,Domestic,11.5,313
Flying Dog Garde Dog,Flying Dog Brewery,Domestic,5.5,150
Flying Dog Gonzo,Flying Dog Brewery,Domestic,9.2,271
Flying Dog Horn Dog,Flying Dog Brewery,Domestic,10.2,314
Flying Dog In Heat Wheat,Flying Dog Brewery,Domestic,4.7,138
Flying Dog K-9 Cruiser,Flying Dog Brewery,Domestic,7.4,197
Flying Dog Kerberos Tripel,Flying Dog Brewery,Domestic,8.3,238
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,Domestic,5.5,154
Flying Dog Raging Bitch,Flying Dog Brewery,Domestic,8.3,221
Flying Dog Road Dog,Flying Dog Brewery,Domestic,6,163
Flying Dog Snake Dog IPA,Flying Dog Brewery,Domestic,7.1,188
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,Domestic,5.1,129
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,Domestic,9.9,288
Flying Dog Woody Creek White,Flying Dog Brewery,Domestic,4.8,131
Carling Black Label,G. Heileman,Domestic,4.3,138
Colt 45 Malt Liquor,G. Heileman,Domestic,6.1,174
Tuborg Deluxe Dark Export,G. Heileman,Domestic,5.1,163
Tuborg Export Quality,G. Heileman,Domestic,5,156
Genesee Beer,High Falls Brewing,Domestic,4.5,148
Genesee Cream Ale,High Falls Brewing,Domestic,5.1,162
Genesee Ice,High Falls Brewing,Domestic,5.9,156
Genesee Red,High Falls Brewing,Domestic,4.9,148
Michael Shea's,High Falls Brewing,Domestic,4.62,145
Rolling Rock Extra Pale,Latrobe,Domestic,4.6,142
Rolling Rock Premium Beer,Latrobe,Domestic,4.5,120
Leinenkugel Amber Light,Leinenkugel,Domestic,4.14,110
Leinenkugel Creamy Dark,Leinenkugel,Domestic,4.94,170
Leinenkugel Honey Weiss,Leinenkugel,Domestic,4.92,149
Leinenkugel Light,Leinenkugel,Domestic,4.19,105
Leinenkugel Northwoods Lager,Leinenkugel,Domestic,4.94,163
Leinenkugel Original,Leinenkugel,Domestic,4.67,152
Leinenkugel Red,Leinenkugel,Domestic,4.94,166
Leinenkugel Sunset Wheat,Leinenkugel,Domestic,4.9,165
Coors,MillerCoors,Domestic,4.91,149
Coors Light,MillerCoors,Domestic,4.15,104
Extra Gold Lager,MillerCoors,Domestic,4.97,152
George Killian's Irish Red,MillerCoors,Domestic,4.98,162
Hamm's Beer,MillerCoors,Domestic,4.7,144
Hamm's Golden Draft,MillerCoors,Domestic,4.7,144
Hamm's Special Light,MillerCoors,Domestic,3.9,110
Icehouse,MillerCoors,Domestic,5.5,132
Icehouse 5.0,MillerCoors,Domestic,5.5,149
Icehouse Light,MillerCoors,Domestic,4.13,103
Magnum Malt Liquor,MillerCoors,Domestic,5.6,157
Mickey's Fine Malt Liquor,MillerCoors,Domestic,5.6,157
Mickey's Ice,MillerCoors,Domestic,5.8,157
Miller Chill,MillerCoors,Domestic,4.2,110
Miller Genuine Draft,MillerCoors,Domestic,4.7,143
"Miller Genuine Draft ""64""",MillerCoors,Domestic,2.8,64
Miller Genuine Draft Light,MillerCoors,Domestic,4.2,110
Miller High Life,MillerCoors,Domestic,4.7,143
Miller High Life Light,MillerCoors,Domestic,4.2,110
Miller Lite,MillerCoors,Domestic,4.2,96
Miller Lite Brewers Collection Amber,MillerCoors,Domestic,4.2,110
Miller Lite Brewers Collection Blonde,MillerCoors,Domestic,4.2,110
Miller Lite Brewers Collection Wheat,MillerCoors,Domestic,4.2,110
Milwaukee's Best,MillerCoors,Domestic,4.3,128
Milwaukee's Best Ice,MillerCoors,Domestic,5.9,144
Milwaukee's Best Light,MillerCoors,Domestic,4.2,98
Milwaukee's Best Premium,MillerCoors,Domestic,4.3,128
Olde English 800,MillerCoors,Domestic,5.9,160
Olde English 800 7.5,MillerCoors,Domestic,7.5,202
Olde English High Gravity 800,MillerCoors,Domestic,8,220
Red Dog,MillerCoors,Domestic,5,147
Southpaw Light,MillerCoors,Domestic,5,123
Steel Reserve,MillerCoors,Domestic,8.1,222
Steel Reserve Six,MillerCoors,Domestic,6,160
Steel Reserve Triple Export,MillerCoors,Domestic,8.1,222
Weinhard's Amber Light,MillerCoors,Domestic,4.2,135
Weinhard's Blonde Lager,MillerCoors,Domestic,5.1,161
Weinhard's Hefeweizen,MillerCoors,Domestic,4.9,151
Weinhard's Pale Ale,MillerCoors,Domestic,4.6,147
Weinhard's Private Reserve,MillerCoors,Domestic,4.8,150
New Belgium 1554,New Belgium,Domestic,5.6,205
New Belgium 2 Below,New Belgium,Domestic,6.6,200
New Belgium Abbey,New Belgium,Domestic,7,200
New Belgium Blue Paddle,New Belgium,Domestic,4.8,140
New Belgium Fat Tire,New Belgium,Domestic,5.2,160
New Belgium Mothership Wit,New Belgium,Domestic,4.8,155
New Belgium Sunshine Wheat,New Belgium,Domestic,4.8,145
New Belgium Trippel,New Belgium,Domestic,7.8,215
Old Milwaukee Beer,Old Milwaukee,Domestic,4.5,146
Old Milwaukee Light,Old Milwaukee,Domestic,3.8,114
Olympia Premium Lager,Pabst,Domestic,4.7,146
Pabst Blue Ribbon,Pabst,Domestic,4.65,144
Pabst Extra Light Low Alcohol,Pabst,Domestic,2.5,67
Schaefer Beer,Pabst,Domestic,4.6,142
Schlitz Beer,Pabst,Domestic,4.7,146
Schlitz Light,Pabst,Domestic,4.2,110
Schlitz Malt Liquor,Pabst,Domestic,6.2,185
Red Hook ESB,Red Hook,Domestic,5.77,179
Red Hook IPA,Red Hook,Domestic,6.5,188
Sierra Nevada Anniversary Ale,Sierra Nevada,Domestic,5.9,190
Sierra Nevada Bigfoot,Sierra Nevada,Domestic,9.6,330
Sierra Nevada Celebration Ale,Sierra Nevada,Domestic,6.8,214
Sierra Nevada Draft Ale,Sierra Nevada,Domestic,5,157
Sierra Nevada Early Spring Beer,Sierra Nevada,Domestic,5.9,190
Sierra Nevada Harvest Ale,Sierra Nevada,Domestic,6.7,215
Sierra Nevada India Pale Ale,Sierra Nevada,Domestic,6.9,231
Sierra Nevada Pale Ale,Sierra Nevada,Domestic,5.6,175
Sierra Nevada Pale Bock,Sierra Nevada,Domestic,7,218
Sierra Nevada Porter,Sierra Nevada,Domestic,5.6,194
Sierra Nevada Stout,Sierra Nevada,Domestic,5.8,225
Sierra Nevada Summerfest Beer,Sierra Nevada,Domestic,5,158
Sierra Nevada Wheat Beer,Sierra Nevada,Domestic,4.4,153
American Amber Lager,Straub Brewery,Domestic,4.1,136
American Lager,Straub Brewery,Domestic,4.1,132
American Light,Straub Brewery,Domestic,3.2,96
Signature Stroh Beer,Stroh's,Domestic,4.8,153
Stroh's Beer,Stroh's,Domestic,4.6,149
Stroh's Light,Stroh's,Domestic,4.4,113
Summit Horizon Red IPA,Summit Brewing,Domestic,5.7,195
Summit Summer Ale,Summit Brewing,Domestic,4.5,147
Lowenbrau Dark,Lowenbrau,Domestic,5,160
Lowenbrau Special Beer,Lowenbrau,Domestic,5.2,160
Pete's Wicked Ale,Pete's Brewing Company,Domestic,5.3,174
Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),Imported,4.7,110
Amstel Light,Amstel Brouwerij B.V. (Holland),Imported,3.9,99
Asahi Draft Beer,Asahi (Japan),Imported,5,146
Bass & Co's Pale Ale,Bass (England),Imported,5.5,160
Beamish Irish Cream Stout,Beamish - Crawford (Ireland),Imported,4.9,146
Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),Imported,4.2,160
Beck's Beer,Brauerei Beck (Germany),Imported,5,143
Beck's Dark,Brauerei Beck (Germany),Imported,4.8,146
Beck's Light,Brauerei Beck (Germany),Imported,2.3,64
Sheaf Stout,Carlton & United (Australia),Imported,5.2,174
Dos Equis XX Imported Beer,Cauhtemoc (Mexico),Imported,4.7,149
Corona Extra Beer,Cereveria Modela SA (Mexico),Imported,4.6,148
Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),Imported,4,128
Superior Imported Beer,Cerveceria Moctezuma (Mexico),Imported,4.3,153
Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),Imported,4.9,156
Sol Cerveza Especial,Cerveceria Montezuma (Mexico),Imported,4.1,131
Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),Imported,4.4,146
Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),Imported,4.2,128
Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),Imported,6.77,160
Thos Cooper & Sons Stout,Cooper & Sons (Australia),Imported,7.1,205
Dragon Stout,Desnoes - Goeddes (Jamaica),Imported,6.8,220
Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),Imported,5,153
Furstenberg German Beer,Fustlich Ferstenbergische,Imported,4.4,138
Foster's Lager,Garlton & United (Australia),Imported,5.1,156
Great Wall,Green Bamboo (China),Imported,4.6,160
Chester Golden A]e,Greenall Whitley (England),Imported,5.4,156
Greenall's Cheshire English Pub Beer,Greenall Whitley PLC (England),Imported,5,142
Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),Imported,5,145
Guinness Extra Stout,Guinness (Ireland),Imported,4.27,153
Harp,Harp (Ireland),Imported,4.55,142
Heineken Lager Beer,Heineken (Holland),Imported,5,150
Heineken Special Dark Beer,Heineken (Holland),Imported,5.1,170
Heineken Special Light,Heineken (Holland),Imported,3.8,99
Kirin Beer,Kirin (Japan),Imported,6.8,188
Kronenbourg Beer,Kronenbourg (France),Imported,5.1,153
Kronenbourg Imported Dark Beer,Kronenbourg (France),Imported,5,163
Labatt's 50,Labatt's,Imported,5.3,153
Molson Canadian Beer,Molson (Canada),Imported,5.1,153
Molson Golden Beer,Molson (Canada),Imported,6.04,170
Molson Light,Molson (Canada),Imported,2.41,82
Moosehead Canadian Lager Beer,Moosehead (Canada),Imported,5,153
O'Keefe Canadian Beer,O'Keefe (Canada),Imported,4.9,142
Samuel Smith's Organic Lager,Samuel Smith's Brewery,Imported,5,158
McEwans Scotch Ale,Scottish & Newcastle (Scotland),Imported,9.5,295
Spaten Munich Special Dark Beer,Spaten-Brau (Germany),Imported,6.6,185
St. Pauli Girl Beer,St. Pauli (Germany),Imported,4.9,148
St. Pauli Girl Dark Beer,St. Pauli (Germany),Imported,4.8,150
Watney's Red Barrel Beer,Stag (England),Imported,3.92,142
Suntory Draft Beer,Suntory (Japan),Imported,4.6,138
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),Imported,4.85,146
Tsingtao Beer,Tsingtao (China),Imported,4.79,153
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),Imported,5.44,153
Wurzburger Hofbrau,Wurtzburger Hofbrau Ag (Germany),Imported,5.42,160
